,Close,Close,Dividends,Dividends,High,High,Low,Low,Open,Open,Stock Splits,Stock Splits,Volume,Volume
,AAPL,MSFT,AAPL,MSFT,AAPL,MSFT,AAPL,MSFT,AAPL,MSFT,AAPL,MSFT,AAPL,MSFT
Date,,,,,,,,,,,,,,
2000-01-03,0.8472067713737488,36.13227081298828,0.0,0.0,0.8514638607859577,36.7716085807248,0.769628824948263,34.717978175268094,0.7937538137032663,36.38413114573297,0.0,0.0,535796800,53228400
2000-01-04,0.7757785320281982,34.91170883178711,0.0,0.0,0.8372725790101406,36.3066272756765,0.7658445852362594,34.79546562812966,0.8192975274128477,35.202316840930735,0.0,0.0,512377600,54119000
2000-01-05,0.7871307730674744,35.279815673828125,0.0,0.0,0.8367997074910309,36.07414430789015,0.7795626879354749,33.90427096606217,0.7852387391530626,34.446739301519166,0.0,0.0,778321600,64059600
2000-01-06,0.7190137505531311,34.09800338745117,0.0,0.0,0.8098367326259899,35.29918305223639,0.7190137505531311,33.59428288286382,0.8032146393004761,34.77608868208799,0.0,0.0,767972800,54976600
2000-01-07,0.7530730366706848,34.54359817504883,0.0,0.0,0.7644260536827543,34.79545839730101,0.7227990151559904,33.26492320053777,0.730367103697886,33.67177432879129,0.0,0.0,460734400,62013600
2000-01-10,0.7398276329040527,34.79545974731445,0.0,0.0,0.7738857054227698,35.2410586193569,0.7171217122847205,34.52422565128862,0.7719936716852652,35.163563163349515,0.0,0.0,505064000,44963600
2000-01-11,0.7019848823547363,33.904273986816406,0.0,0.0,0.7521268473325142,35.415435913085936,0.6849558665585649,33.6911614074707,0.7261098729710661,34.562985595703125,0.0,0.0,441548800,46743600
2000-01-12,0.6598848104476929,32.79997253417969,0.0,0.0,0.7227987449874633,33.74929247167219,0.6546808704789024,32.37374725612183,0.7190138179320237,33.63304921402005,0.0,0.0,976068800,66532400
2000-01-13,0.7322587966918945,33.4199333190918,0.0,0.0,0.7473958266915034,33.67179368613422,0.7000927532039694,31.463172005915986,0.7151110984518031,32.35437022775843,0.0,0.0,1032684800,83144000
2000-01-14,0.7601678967475891,34.79545974731445,0.0,0.0,0.7738858641484897,35.318554075364275,0.7521267896081775,32.78057789112252,0.7568568496592636,33.226176763164965,0.0,0.0,390376000,73416400
2000-01-18,0.7866579294204712,35.744773864746094,0.0,0.0,0.8022687906598587,36.11287722703887,0.7601679345747875,34.64046377786776,0.764425832611049,34.659837639041065,0.0,0.0,459177600,81483600
2000-01-19,0.8065257668495178,33.168087005615234,0.0,0.0,0.8230818102340471,34.56300655258036,0.7824007787660296,32.85810488406743,0.7994298433000053,34.25302443103255,0.0,0.0,597643200,97568200
2000-01-20,0.8590328693389893,32.85808181762695,0.0,0.0,0.919580896306236,34.00114008840525,0.8590328693389893,32.819334079634466,0.8741698508179726,33.18743759056307,0.0,0.0,1831132800,56349800
2000-01-21,0.8424767255783081,32.160606384277344,0.0,0.0,0.8647088721742088,33.245542503265014,0.8339617887250335,32.00561551013625,0.8647088721742088,33.16804706619447,0.0,0.0,495924800,68416200
2000-01-24,0.8041606545448303,31.385652542114258,0.0,0.0,0.8533557064402845,32.761196573281,0.7956456686864117,31.250035524956978,0.8207166451882681,32.17513732056559,0.0,0.0,440876800,63597600
2000-01-25,0.849571704864502,31.870004653930664,0.0,0.0,0.8561947079446144,32.1993603251263,0.7748326495693841,30.862563777332245,0.7946997388350715,31.30816262659693,0.0,0.0,497145600,59823200
2000-01-26,0.8339617848396301,30.804441452026367,0.0,0.0,0.8642358469771437,32.08311638022369,0.8306507882377071,30.72694600183259,0.8325427718600479,31.75376071690014,0.0,0.0,367158400,49365000
2000-01-27,0.8325427174568176,30.610706329345703,0.0,0.0,0.8552486920442661,31.36628705519664,0.8098367933950192,30.145733574975893,0.8235547600621278,30.96427936131441,0.0,0.0,340144000,63654800
2000-01-28,0.7691558599472046,30.455732345581055,0.0,0.0,0.8391649171005646,31.0756963627939,0.7615877734210651,30.145750336974633,0.8188248540460841,30.41698459450525,0.0,0.0,423348800,58225400
2000-01-31,0.7852387428283691,30.339460372924805,0.0,0.0,0.7861847850528266,30.436329658917536,0.7152297487695598,29.40951522739454,0.7644257128390104,30.261964944130614,0.0,0.0,701680000,73194200
2000-02-01,0.7587488889694214,31.908763885498047,0.0,0.0,0.7946998641748497,32.00563323548438,0.7568569052305926,30.281358805727653,0.7871309187064017,30.53321911569212,0.0,0.0,318035200,70196600
2000-02-02,0.7478687763214111,31.25005340576172,0.0,0.0,0.7729397530154768,32.21874693972829,0.7341507605127623,31.15318405236506,0.7625336427199331,31.753774043424336,0.0,0.0,464195200,49915600
2000-02-03,0.7819277048110962,32.12187576293945,0.0,0.0,0.789023627422888,32.29624058915565,0.7587487115639351,31.036939066483114,0.759221732650872,31.637529023450018,0.0,0.0,475193600,49186000
2000-02-04,0.8174057602882385,33.03245162963867,0.0,0.0,0.8325427402567424,33.478050683880134,0.784292814512417,32.28171409260143,0.7866578697390457,32.354366112314715,0.0,0.0,425320000,55365400
2000-02-07,0.8632897734642029,33.05181884765625,0.0,0.0,0.8647088369181919,33.129314319749234,0.8017957101244035,32.31561186277293,0.8174057617978441,33.10994045172599,0.0,0.0,441067200,40005800
